,zh_CN,en,ja,zh_HK
勇者,勇者,Hero,勇者,勇者
巨剑士,巨剑士,Claymore,大剣使い,巨劍士
普通史莱姆,普通史莱姆,Common Slime,ノーマルスライム,普通史萊姆
食人魔,食人魔,Orge,オーガ,食人魔
牛魔王,牛魔王,Bull Demon King,牛魔王,牛魔王
狼人,狼人,Werewolf,人狼,狼人
弓兵,弓兵,Archer,弓兵,弓兵
长弓手,长弓手,Elf,長弓兵,長弓手
精装弩手,精装弩手,Elite Crossbowman,精鋭弩兵,精裝弩手
毒蜂,毒蜂,Deadbee,毒蜂,毒蜂
巨蝠,巨蝠,Gigantic Bat,ギガバット,巨蝠
小绿帽,小绿帽,Green Riding Hood,緑帽子,小綠帽
地核射手,地核射手,Geocore Shooter,ロックシューター,地核射手
盾兵,盾兵,Shielder,盾兵,盾兵
兵长,兵长,King's Guard,兵長,兵長
霜之巨人,霜之巨人,Frost Giant,霜の巨人,霜之巨人
熔岩巨人,熔岩巨人,Lava Giant,溶岩の巨人,熔巖巨人
野人,野人,Beastman,イエティ,野人
鼻涕虫,鼻涕虫,Snotty,ナメクジ,鼻涕蟲
红莲,红莲,Red Lotus,紅蓮,紅蓮
夜魔,夜魔,Imp,暗魔,夜魔
腐兽,腐兽,Rotted Beast,腐獣,腐獸
狡诈哥布林,狡诈哥布林,Cunning Goblin,狡猾なゴブリン,狡詐哥布林
刀侠,刀侠,Swordmaster,剣客,刀俠
红面具,红面具,Red Mask,紅のお面,紅面具
精灵冰法,精灵冰法,Elf Ice Mage,錬氷術師,煉冰術士
冰晶人,冰晶人,Crystalman,アイスマン,冰晶人
炎术士,炎术士,Fire Mage,炎術士,炎術士
火元素,火元素,Pyro Wisp,ファイアエレメンタル,火元素
暗影史莱姆,暗影史莱姆,Shadow Slime,シャドウスライム,暗影史萊姆
长老,长老,Elder Mage,長老,長老
僧侣,僧侣,Grand Monk,僧侶,僧侶
人参果,人参果,Ginseng-fruit,人参果,人參果
森林从者,森林从者,Forest Protector,森の従者,森林從者
祭祀者,祭祀者,Sacrificer,祭祀者,祭祀者
圣锤使,圣锤使,Divine Hammer,聖槌士,聖錘使
领袖,领袖,Leader,カリスマ,領袖
鬼魂,鬼魂,Ghost,幽霊,鬼魂
亡灵武士,亡灵武士,Skeleton Samurai,亡霊武士,亡靈武士
骷髅射手,骷髅射手,Skeleton Archer,髑髏弓手,骷髏射手
骷髅盾卫,骷髅盾卫,Skeleton Legionary,髑髏衛士,骷髏盾衛
丧尸,丧尸,Zombie,ゾンビ,喪屍
尸镰,尸镰,Fleshripper,死ノ鎌,屍鐮
操魂者,操魂者,Tiny Reaper,操魂者,操魂者
野蛮人,野蛮人,Barbarian,野蛮人,野蠻人
圣枪手,圣枪手,Rifleman,聖銃士,聖槍手
石头人,石头人,The Rock,ストーンマン,石頭人
侠女,侠女,Shade,女傑,俠女
兰斯,兰斯,Lance,ランス,蘭斯
帕拉丁,帕拉丁,Paladin,パラディン,帕拉丁
魔王,魔王,Demon Lord,魔王,魔王
苍白剑士,苍白剑士,Pale Swordsman,蒼白の剣士,蒼白劍士
魔眼,魔眼,Demoneye,眼魔,魔眼
魔像,魔像,Golem,ゴーレム,魔像
阎刀,阎刀,Hellbalde,閻刀,閻刀
血魔,血魔,Bloodseeker,血魔,血魔
毒魔,毒魔,Poisoner,毒魔,毒魔
冰霜精灵,冰霜精灵,Frostie,氷結の精霊,冰霜精靈
,,,,
豹僧,豹僧,Panthermonk,豹僧,豹僧
炎拳,炎拳,Firefist,炎拳,炎拳
熊猫宗师,熊猫宗师,Master Panda,パンダマスター,熊貓宗師
石像鬼陷阱,石像鬼陷阱,Gargoyle Snare,ガーゴイルトラップ,石像鬼陷阱
远古机兵,远古机兵,Ancient Soldier,古代機兵,遠古機兵
独角兽,独角兽,Unihorn,ユニコーン,獨角獸
阿尔泰,阿尔泰,Altai,アルタ,阿爾泰
幽镰使,幽镰使,Reaper's Envoy,シックラー,幽鐮使
白影,白影,White Shadow,白影,白影
夜鬼,夜鬼,Nightghoul,夜鬼,夜鬼
药剂师,药剂师,Pharmacist,薬剤師,藥劑師
土星人,土星人,Saturnian,土星人,土星人
美猴王,美猴王,Monkey King,美猴王,美猴王
仙女鱼,仙女鱼,Fairy Fish,マーメイド,仙女魚
巨蟹,巨蟹,Gigantic Crab,ギガクラブ,巨蟹
影龙,影龙,Shadow Dragon,シャドウドラゴン,影龍
水行者,水行者,Seawalker,ダイバー,水行者
水星人,水星人,Mecurian,水星人,水星人
土元素,土元素,Earth Elemental,アースエレメンタル,土元素
水元素,水元素,Water Elemental,ウォーターエレメンタル,水元素
风元素,风元素,Wind Elemental,ウィンドエレメンタル,風元素
