,zh_CN,en,ja,zh_HK
,,,,
普通,普通,Common,コモン,普通
卓越,卓越,Elite,アンコモン,卓越
史诗,史诗,Epic,エピック,史詩
传奇,传奇,Legendary,レジェンド,傳奇
远古,远古,Ancestral,エンシェント,遠古
神话,神话,Mythic,ゴッデス,神話
宇宙,宇宙,Celestial,ユニバース,宇宙
,,,,
,,,,
战士,战士,Warrior,ファイター,戰士
射手,射手,Ranger,マークスマン,射手
坦克,坦克,Tank,タンク,坦克
刺客,刺客,Assassin,アサシン,刺客
法师,法师,Mage,メイジ,法師
辅助,辅助,Support,サポーター,輔助
,,,,
,,,,
剑士,剑士,Swordsman,剣士,劍士
钝器使,钝器使,Smasher,鉄槌士,鈍器使
狂战士,狂战士,Berserker,狂戦士,狂戰士
,,,,
弓手,弓手,Archer,弓手,弓手
飞刺兽,飞刺兽,Flyingspike,飛棘獣,飛刺獸
弩手,弩手,Crossbowman,弩兵,弩手
火枪手,火枪手,Musketeer,銃士,火槍手
,,,,
盾卫,盾卫,Legionary,衛士,盾衛
重甲士,重甲士,Juggernaut,重装士,重甲士
肉霸,肉霸,Rocky,鉄壁,肉霸
,,,,
忍者,忍者,Ninja,忍者,忍者
毒枭,毒枭,Poisoner,蟲毒士,毒梟
侠客,侠客,Swashbuckler,侠客,俠客
,,,,
冰法,冰法,Cryo Mage,氷魔術士,冰法
火法,火法,Inferno Mage,炎魔術士,火法
雷法,雷法,Electro Mage,雷魔術士,雷法
,,,,
牧师,牧师,Clergy,牧師,牧師
萨满,萨满,Shaman,シャーマン,薩滿
圣骑士,圣骑士,Paladin,聖騎士,聖騎士
,,,,
魔武者,魔武者,Darkblades,魔道の武者,魔武者
神族,神族,Divine Kin,神族,神族
魔族,魔族,Demonic Kin,魔族,魔族
,,,,
机关人,机关人,Humanoid Machine,からくり人形,機關人
格斗家,格斗家,Brawler,格闘家,格鬥家
暗杀者,暗杀者,Assassin,暗殺者,暗殺者
炼金术士,炼金术士,Alchemist,錬金術師,煉金術士
,,,,
国王,国王,King,国王,國王
,,,,
,,,,
,,,,
,,,,
最大生命值,最大生命值,Max HP,最大HP,最大生命值
物理攻击,物理攻击,Physical Attack,物理攻撃力,物理攻擊
魔法攻击,魔法攻击,Magic Power,魔法攻撃力,魔法攻擊
物理防御,物理防御,Physical Defense,物理防御力,物理防禦
魔法防御,魔法防御,Magic Defense,魔法防御力,魔法防禦
穿甲,穿甲,Armor Penetration,貫通力,穿甲
射程,射程,Attack Range,射程,射程
暴击率,暴击率,Crit Rate,会心率,暴擊率
暴击伤害,暴击伤害,Crit Damage,会心ダメージ,暴擊傷害
