,zh_CN,en,ja,zh_HK
基础魂： %d,基础魂： %d,Basic Essence: %d,基礎ソウル： %d,基礎魂： %d
夜晚  +30%基础魂,夜晚  +30%基础魂,+30% Basic Essence at night,夜  基礎ソウル+30%,夜晚  +30%基礎魂
最终获得魂：%d,最终获得魂：%d,Final Essence Obtained: %d,最終獲得ソウル：%d,最終獲得魂：%d
战败,战败,Defeat,敗北,戰敗
------,------,------,------,------
普通敌人,普通敌人,Common Enemy,コモンエネミー,普通敵人
你的战力等级碾压了对面!,你的战力等级碾压了对面!,Your Battle Power is much higher than your opponent's!,あなたの戦力レベルは敵を遥かに上回っています,你的戰力等級碾壓了對面!
战败!,战败!,Defeat!,敗北！,戰敗!
战斗消耗时间 %s，己方回复%d%%已损失生命值,战斗消耗时间 %s，己方回复%d%%已损失生命值,Time consumption of battle %s; allies restore %d%% of HP lost,戦闘で時間を %s消耗し、味方の損失HPを%d%%回復した,戰鬥消耗時間 %s，己方回復%d%%已損失生命值
时间推进 %s，获得1个遗物,时间推进 %s，获得1个遗物,Time advances by %s and you gain 1 Emblem,時間が %s進み、遺物を1つ獲得する,時間推進 %s，獲得1個遺物
离开地牢，时间推进 %s,离开地牢，时间推进 %s,Time advances by %s after leaving a dungeon,地下牢を離れ、時間が %s進んだ,離開地牢，時間推進 %s
但是时间会推进 %s,但是时间会推进 %s,But time advances by %s,しかし時間が %s進む,但是時間會推進 %s
部队在城镇休息了 %s，回复满了生命值！,部队在城镇休息了 %s，回复满了生命值！,Your team has been rested in the city for %s and their HP is fully restored!,部隊が街で %s休憩をとったため、HPが全回復した,部隊在城鎮休息了 %s，回復滿了生命值！
己方回复%d%%已损失生命值,己方回复%d%%已损失生命值,Allies restore %d%% of HP lost,味方の損失HPを%d%%回復した,己方回復%d%%已損失生命值
精英敌人,精英敌人,Elite Enemy,エリートエネミー,精英敵人
,,,,
BOSS,BOSS,BOSS,BOSS,BOSS
消灭可减少瘴气，获得遗物,消灭可减少瘴气，获得遗物,Eliminate to reduce the miasma and obtain an Emblem,討伐することで瘴気を減少し、遺物を獲得できます,消滅可減少瘴氣，獲得遺物
减少 2级瘴气,减少 2级瘴气,Reduce miasma by 2 levels,瘴気を2レベル減少,減少 2級瘴氣
获得 神徽,获得 神徽,Obtain an Emblem,シンボルを獲得,獲得 神徽
,,,,
魔王,魔王,Demon Lord,魔王,魔王
打败魔王游戏就获得胜利！,打败魔王游戏就获得胜利！,Defeat the Demon Lord to win the game!,魔王を撃破すると勝利！,打敗魔王遊戲就獲得勝利！
,,,,
魔王仆从,魔王仆从,Demon Servant,魔王の僕,魔王仆從
