,zh_CN,en,ja,zh_HK
你需要通关当前等级，才可解锁下一个等级,你需要通关当前等级，才可解锁下一个等级,You need to beat this level first to unlock the next level,次のレベルをアンロックするには今のレベルをクリアする必要があります,你需要通關當前等級，才可解鎖下一個等級
目前最高,目前最高,Currently Highest,現在の最高,目前最高
初始难度，小试身手,初始难度，小试身手,Initial Difficulty. Time to test the waters.,初期難易度、手慣らしにどうぞ,初始難度，小試身手
敌人的属性小幅增加,敌人的属性小幅增加,Enemy attributes are slightly enhanced,敵の属性がわずかに強化されています,敵人的屬性小幅增加
瘴气对敌人属性的影响提高100%,瘴气对敌人属性的影响提高100%,Increased the influence of the Miasma on enemy effects by 100%,瘴気は敵のステータスの効果が100%増加します,瘴氣對敵人屬性的影響提高200%
夜晚的敌人获得15%的增伤和减伤,夜晚的敌人获得15%的增伤和减伤,Enemies gain a 15% DMG Boost and DMG Reduction at night.,夜中の敵のダメージ増加と被ダメージ軽減が15%増加する,夜晚的敵人獲得15%的增傷和減傷
大地图移动1格消耗的时间增加10分钟,大地图移动1格消耗的时间增加10分钟,Increase the time spent on moving 1 tile on the World Map by 10 minutes.,マップ上で1マス移動する際の消費時間が10分増加する,大地圖移動1格消耗的時間增加10分鐘
敌人的属性中幅增加,敌人的属性中幅增加,Enemy attributes are considerably enhanced.,敵のステータスが中位上昇,敵人的屬性中幅增加
魔王战敌人获得魔王军状态 %d%%的增伤和减伤,魔王战敌人获得魔王军状态 %d%%的增伤和减伤,"When fighting the Demon Lord, enemies enter the Demonic Troop state, gaining a %d%% DMG Boost and DMG Reduction",魔王戦中、敵は魔王軍状態を獲得、ダメージ増加と被ダメージ軽減を%d%%増加,魔王戰敵人獲得魔王軍狀態 %d%%的增傷和減傷
瘴气对敌人属性的影响提高200%,瘴气对敌人属性的影响提高200%,Increased the influence of the Miasma on enemy effects by 200%,瘴気は敵のステータスの効果が200%増加します,瘴氣對敵人屬性的影響提高200%
战斗的时间花费增加50%,战斗的时间花费增加50%,Battle time increases by 50%.,戦闘による時間消費が50%上昇する,戰鬥的時間花費增加50%
敌人的属性大幅增加,敌人的属性大幅增加,Enemy attributes are greatly enhanced.,敵のステータスが大幅上昇,敵人的屬性大幅增加
魔王觉醒并诅咒你的部队，减少%d%%的增伤和减伤,魔王觉醒并诅咒你的部队，减少%d%%的增伤和减伤,"The Demon Lord is awakened and curses your team, reducing your DMG Boost and DMG Reduction by %d%%.",魔王が覚醒し、味方部隊を呪う。味方のダメージ増加、被ダメージ軽減を%d%%減少する,魔王覺醒並詛咒你的部隊，減少%d%%的增傷和減傷
瘴气层数无上限,瘴气层数无上限,There is no limit to the Miasma levels,瘴気の層数に上限はない,瘴氣層數無上限
敌人的属性超幅增加,敌人的属性超幅增加,Enemy attributes are massively enhanced.,敵の属性が超大幅に増加,敵人的屬性超幅增加
,,,,
,,,,
难度,难度,Difficulty,難易度,難度
,,,,
战况激烈,战况激烈,Intense Battle,戦況熱烈,戰況激烈
每30秒所有单位最终伤害提升50%,每30秒所有单位最终伤害提升50%,"Every 30 sec, the final damage dealt by each unit increases by 50%",30秒ごとに各ユニットの最終ダメージを50％増加,每30秒所有單位最終傷害提升50%
,,,,
幽暗值,幽暗值,Gloom,幽暗値,幽暗值
当前幽暗值%d,当前幽暗值%d,Current Gloom: %d,現在の幽暗値%d,當前幽暗值%d
敌方增加%d%%的增伤和减伤,敌方增加%d%%的增伤和减伤,Enemy DMG Boost and DMG Reduction increase by %d%%,敵のダメージ増加とダメージ軽減が%d%%増加,敵方增加%d%%的增傷和減傷
在地牢中战斗时间减少，但是会增加幽暗值,在地牢中战斗时间减少，但是会增加幽暗值,Reduces combat time in the dungeon but increases Gloom,ダンジョンでの戦闘時間の短縮、幽暗値は増加します,在地牢中戰鬥時間減少，但是會增加幽暗值
,,,,
,,,,
游戏,游戏,Game,ゲーム,遊戲
请雇佣%d个初始单位,请雇佣%d个初始单位,Please recruit %d initial units,初期ユニットを%dつ雇用してください,請雇傭%d個初始單位
获得 %dG初始金币,获得 %dG初始金币,Obtain %d Coins," %dGの路銀を獲得",獲得 %dG初始金幣
离开地牢，时间推进%d个小时,离开地牢，时间推进%d个小时,Leave the dungeon and time advances by %d hour(s),地下牢を離れ、時間が%d時間進む,離開地牢，時間推進%d個小時
,,,,
瘴气,瘴气,Miasma,瘴気,瘴氣
敌方的生命，防御，攻击提高%d%%,敌方的生命，防御，攻击提高%d%%,"Enemy HP, Defense and Attack increase by %d%%",敵のHP 、防御力、攻撃力が%d%%増加,敵方的生命，防禦，攻擊提高%d%%
每过一天提高%d级,每过一天提高%d级,Increases by %d level(s) each day,1日ごとに%dレベルずつ上がり,每過一天提高%d級
,,,,
,,,,
瘴气到达了5级，请注意瘴气的流逝，瘴气越高，敌人越强,瘴气到达了5级，请注意瘴气的流逝，瘴气越高，敌人越强,"The miasma has reached Lv. 5. Please pay attention to its intensity. The more infectious the miasma, the more powerful the enemies. ",瘴気がレベル５になりました！瘴気の増加に注意してください、瘴気が高ければ高いほど敵が強くなります。,瘴氣到達了5級，請註意瘴氣的流逝，瘴氣越高，敵人越強
瘴气到达%d级，游戏失败！,瘴气到达%d级，游戏失败！,The miasma has reached Lv. %d. You are defeated!,瘴気レベルが%dに達しました！ゲームオーバーです！,瘴氣到達%d級，遊戲失敗！
,,,,
夜晚,夜晚,Night,夜,夜晚
