,zh_CN,en,ja,zh_HK
晶石,晶石,Crystal,晶石,晶石
用于外围解锁内容,用于外围解锁内容,Can be used to unlock extra content from the Main Menu,外周のアンロックに使用,用於外圍解鎖內容
恶魔之魂,恶魔之魂,Soul of Demon,悪魔の魂,惡魔之魂
可以卖掉,可以卖掉,Can be sold,売却可能,可以賣掉
但也许你能收集3个恶魔之魂？,但也许你能收集3个恶魔之魂？,But perhaps you can collect 3 Souls of Demon?,でも3つを収集すると……？,但也許你能收集3個惡魔之魂？
,,,,
金币,金币,Coin,金貨,金幣
购买物品装备等等,购买物品装备等等,"Can be used to purchase items, equipment and so on.",アイテムや装備などの購入に使用可能,購買物品裝備等等
升级单位技能,升级单位技能,Upgrade unit skill,ユニットのスキル強化に使用可能,升級單位技能
黄金钥匙,黄金钥匙,Golden Key,黄金の鍵,黃金鑰匙
可以卖掉，也可以用来解锁某个隐藏遗迹,可以卖掉，也可以用来解锁某个隐藏遗迹,Can be sold or used to unlock some secret ruins,売却、若しくはある秘密の遺跡のアンロックに使用可能,可以賣掉，也可以用來解鎖某個隱藏遺跡
魂,魂,Essence,ソウル,魂
升级单位所用,升级单位所用,This is used to upgrade units,ユニットレベルアップ用,升級單位所用
---,,,,
长剑,长剑,Sword,長剣,長劍
,,,,
锤,锤,Hammer,槌,錘
,,,,
巨剑,巨剑,Claymore,大剣,巨劍
,,,,
箭矢,箭矢,Arrow,弓矢,箭矢
,,,,
弓,弓,Bow,弓,弓
,,,,
驽,驽,Crossbow,弩,駑
,,,,
圆盾,圆盾,Round Shield,円盾,圓盾
,,,,
重甲,重甲,Heavy Armor,重鎧,重甲
,,,,
布衣,布衣,Cotton Cloth,布の服,布衣
,,,,
匕首,匕首,Dagger,短剣,匕首
,,,,
手里剑,手里剑,Shuriken,手裏剣,手裏劍
,,,,
镰刀,镰刀,Scythe,鎌,鐮刀
,,,,
长杖,长杖,Staff,両手杖,長杖
,,,,
短杖,短杖,Wand,片手杖,短杖
,,,,
魔法书,魔法书,Spellbook,魔導書,魔法書
,,,,
披肩,披肩,Shawl,マント,披肩
,,,,
项链,项链,Necklace,ネックレス,項鏈
,,,,
戒指,戒指,Ring,リング,戒指
,,,,
---,---,---,---,---
血瓶,血瓶,Healing Potion,HP回復薬,血瓶
回复全队%d点生命值,回复全队%d点生命值,Restores %d HP for all allies,パーティ全体のHPを%d回復する,回復全隊%d點生命值
小血瓶,小血瓶,Healing Potion (S),HP回復薬（小）,小血瓶
回复最虚弱友军%d生命值,回复最虚弱友军%d生命值,Restores %d HP for the most wounded ally,HPが最も低い味方単体のHPを%d回復,回復最虛弱友軍%d生命值
净化药水,净化药水,Purification Potion,浄化ポーション,凈化藥水
清除所有友军的负面状态，并恢复%d点生命值,清除所有友军的负面状态，并恢复%d点生命值,Cleanses debuffs of all allies and restores %d HP for them,味方全体の状態異常をすべて解除し、HPを%d回復する,清除所有友軍的負面狀態，並恢復%d點生命值
祝福水-抵御,祝福水-抵御,Blessing Potion - Armored,祝福の水ー守護,祝福水-抵禦
"回复全队%d点生命值,并获得%d层 %s","回复全队%d点生命值,并获得%d层 %s",Restores %d HP for all allies and they gain %d stack(s) of %s,パーティ全体のHPを%d回復し、%d層の%sを獲得する,"回復全隊%d點生命值,並獲得%d層 %s"
祝福水-狂怒,祝福水-狂怒,Blessing Potion - Berserked,祝福の水ー激怒,祝福水-狂怒
,,,,
祝福水-急速,祝福水-急速,Blessing Potion - Hasted,祝福の水ー急速,祝福水-急速
,,,,
祝福水-超然,祝福水-超然,Blessing Potion - Transcendent,祝福の水ー超然,祝福水-超然
祝福水-威能,祝福水-威能,Blessing Potion - Empowered,祝福の水ー神威,祝福水-威能
雷电卷轴,雷电卷轴,Lightning Scroll,雷の巻物,雷電卷軸
召唤5道闪电攻击随机敌人，每次造成%d魔法伤害 并附加20层麻痹,召唤5道闪电攻击随机敌人，每次造成%d魔法伤害 并附加20层麻痹,"Summons 5 lightning bolts to strike random enemies, dealing %d Magic DMG each bolt and inflicting 20 stacks of Paralyzed",稲妻を5つ召喚しランダムな敵を攻撃する。それぞれ%dの魔法ダメージを与え、20層の麻痺を付与する,召喚5道閃電攻擊隨機敵人，每次造成%d魔法傷害 並附加20層麻痹
陨石卷轴,陨石卷轴,Meteorite Scroll,隕石の巻物,隕石卷軸
召唤陨石打击敌人，造成%d魔法伤害，附加20层烧灼,召唤陨石打击敌人，造成%d魔法伤害，附加20层烧灼,"Summons a Meteorite to attack enemies, dealing %d Magic DMG and inflicting 20 stacks of Burning",隕石を召喚して敵を攻撃する。%dの魔法ダメージを与え、20層の火傷を付与する,召喚隕石打擊敵人，造成%d魔法傷害，附加20層燒灼
