,zh_CN,en,ja,zh_HK
训练-物理攻击,训练-物理攻击,Training - Physical Attack,訓練ー物理攻撃,訓練-物理攻擊
全队 +%d%% %s,全队 +%d%% %s,All allies +%d%% %s,%d%%増加させる 【パーティ全体の%s】,全隊 +%d%% %s
训练-防御,训练-防御,Training - Defense,訓練ー防御,訓練-防禦
全队 +%d%% 双抗,全队 +%d%% 双抗,Full team +%d%% Magic and physical defense,チーム全員 +%d%% 魔法と物理防御,全隊 +%d%% 雙抗
训练-最大生命值,训练-最大生命值,Training - Max HP,訓練ー最大HP,訓練-最大生命值
训练-魔法攻击,训练-魔法攻击,Training - Magic Attack,訓練ー魔法攻撃,
养身备战,养身备战,Well Prepared,戦後の癒やし,養身備戰
战斗结束时，全队回复%d%% 生命值,战斗结束时，全队回复%d%% 生命值,All allies restore %d%% HP when the battle ends,戦闘終了時、味方全体のHPを%d%% 回復する,戰鬥結束時，全隊回復%d%% 生命值
无畏之势,无畏之势,Fearless,無畏の勢い,無畏之勢
战斗开始时，全队获得%d%% 护盾值,战斗开始时，全队获得%d%% 护盾值,All allies gain a shield of strength equal to %d%% when the battle starts.,戦闘開始時、味方全体が%d%% の盾を獲得する,戰鬥開始時，全隊獲得%d%% 護盾值
吸血獠牙,吸血獠牙,Bloodthirsty,吸血の牙,吸血獠牙
全队获得%d%%普攻吸血,全队获得%d%%普攻吸血,All allies' Normal Attack has a %d%% Lifesteal effect,味方全体が%d%%の通常攻撃による吸血を獲得する,全隊獲得%d%%普攻吸血
吸血之触,吸血之触,Touch of Blood,吸血の触,吸血之觸
全队获得%d%%技能吸血,全队获得%d%%技能吸血,All allies' Skills have a %d%% Lifesteal effect,味方全体が%d%%のスキルによる吸血を獲得する,全隊獲得%d%%技能吸血
狂暴之刃,狂暴之刃,Berserker's Blade,狂暴の刃,狂暴之刃
全队暴击时伤害提升%d%%,全队暴击时伤害提升%d%%,All allies' Crit DMG increases by %d%%,味方全体の会心ダメージを%d%%増加させる,全隊暴擊時傷害提升%d%%
辉能之源,辉能之源,Radiant Energy,輝きの源,輝能之源
全队魔法伤害提升%d%%,全队魔法伤害提升%d%%,All allies' Magic DMG increases by %d%%,味方全体の魔法ダメージを%d%%増加させる,全隊魔法傷害提升%d%%
蛮族之力,蛮族之力,Barbarian's Force,蛮族の力,蠻族之力
全队物理伤害提升%d%%,全队物理伤害提升%d%%,All allies' Physical DMG increases by %d%%,味方全体の物理ダメージを%d%%増加させる,全隊物理傷害提升%d%%
开路先锋,开路先锋,Pathfinder,先鋒,開路先鋒
进入敌方区域的单位伤害提升%d%%,进入敌方区域的单位伤害提升%d%%,Units entering hostile areas will have their DMG increased by %d%%,敵区域に入ったユニットのダメージを%d%%増加させる,進入敵方區域的單位傷害提升%d%%
夜盗,夜盗,Thief Time,夜盗,夜盜
夜晚的精英战胜利后，获得额外 %d * 战斗等级 的 金币,夜晚的精英战胜利后，获得额外 %d * 战斗等级 的 金币,"After winning an Elite battle at night, gains extra Coins that equal %d * Battle Level",夜の精鋭戦勝利後、 %d * 戦闘レベルの金貨を追加で獲得する,夜晚的精英戰勝利後，獲得額外 %d * 戰鬥等級 的 金幣
急行军,急行军,In a Rush,急行軍,急行軍
