,zh_CN,en,ja,zh_HK
精巧打击,精巧打击,Precise Strike,精確打撃,精巧打擊
普攻暴击时附加%d%%的物理伤害,普攻暴击时附加%d%%的物理伤害,Normal Attack deals an extra %d%% Physical DMG when Crit,通常攻撃会心時、%d%%の物理ダメージを追加で与える,普攻暴擊時附加%d%%的物理傷害
忍者之道,忍者之道,Way of Ninja,忍の道,忍者之道
获得%d%%的暴击率，且每10%%的暴击率使你有%d%%的概率闪避非真实伤害,获得%d%%的暴击率，且每10%%的暴击率使你有%d%%的概率闪避非真实伤害,Gains a %d%% Crit Rate and every 10%% Crit Rate allows you to gain a %d%% chance to evade non-True DMG.,%d%%の会心率を獲得する。さらに会心率が10%%ごとに%d%%の確率で非実物傷害回避する,獲得%d%%的暴擊率，且每10%%的暴擊率使你有%d%%的概率閃避非真實傷害
瞄准死穴,瞄准死穴,Aim at the Head,死のツボ,瞄準死穴
每10%%的暴击率，提高%d%%的技能伤害,每10%%的暴击率，提高%d%%的技能伤害,"For every 10%% Crit Rate, increases Skill DMG by %d%%",会心率10%%毎にスキルダメージが%d%%増加する。,每10%%的暴擊率，提高%d%%的技能傷害
影风车,影风车,Shadow Shuriken,影風車,影風車
投掷一枚手里剑造成%d%%的物理伤害，可以暴击，暴击时可弹射至最近敌方，最多弹射10次,投掷一枚手里剑造成%d%%的物理伤害，可以暴击，暴击时可弹射至最近敌方，最多弹射10次,"Throws a shuriken that deals %d%% Physical DMG and can Crit; when Crit, the attack can bounce to the nearest enemy for at most 10 times",手裏剣を1枚投げ%d%%の物理ダメージを与える。会心可能、会心時直近の敵に跳ね返ることができる、最大10回まで。,投擲一枚手裏劍造成%d%%的物理傷害，可以暴擊，暴擊時可彈射至最近敵方，最多彈射10次
放血,放血,Bloodletting,放血,放血
造成%d%%物理伤害，附加%d层流血,造成%d%%物理伤害，附加%d层流血,"Deals %d%% Physical DMG to the target, inflicting %d stack(s) of Hemorrhaged",%d%%の物理ダメージを与え、%d層の出血を付与する。,造成%d%%物理傷害，附加%d層流血
,,,,
涂毒,涂毒,Spread Poison,毒盛,塗毒
技能伤害附加%d层中毒,技能伤害附加%d层中毒,Skill inflicts %d stack(s) of Poisoned,スキルダメージに%d層の毒効果を付与する。,技能傷害附加%d層中毒
毒舞,毒舞,Dance of Poison,毒の舞,毒舞
对目标单位造成%d%%的物理伤害，并对其周围1格其他单位造成%d%%伤害，附加%d层中毒,对目标单位造成%d%%的物理伤害，并对其周围1格其他单位造成%d%%伤害，附加%d层中毒,"Deals %d%% Physical DMG to the target and %d%% DMG to other units within a radius of 1 tile around, inflicting %d stack(s) of Poisoned",目標ユニットに対し%d%%の物理ダメージを与える。更に周囲1マスのユニットに%d%%のダメージを与え、%d層の毒を付与する。,對目標單位造成%d%%的物理傷害，並對其周圍1格其他單位造成%d%%傷害，附加%d層中毒
毒爪,毒爪,Toxic Claws,毒の爪,毒爪
普攻%d%%几率附加%d层中毒,普攻%d%%几率附加%d层中毒,Normal Attack has a %d%% chance to inflict %d stack(s) of Poisoned,%d%%の確率で通常攻撃に%d層の毒を付与する。,普攻%d%%幾率附加%d層中毒
毒爆,毒爆,Poison Brust,毒爆,毒爆
对敌人附加的中毒达到30层时，消除层数，对目标1格范围造成%d%%的物理伤害,对敌人附加的中毒达到30层时，消除层数，对目标1格范围造成%d%%的物理伤害,"At 30 stacks of Poisoned inflicted on an enemy, resets the stack number to 0 and deals %d%% Physical DMG to the target and within the radius of 1 tile around them",敵に付与した毒が30層に達した際、層数をリセットし、目標の1マス範囲内の敵に%d%%の物理ダメージを与える。,對敵人附加的中毒達到30層時，消除層數，對目標1格範圍造成%d%%的物理傷害
毒创,毒创,Rotting Wound,毒瘡,毒創
普攻附加%d%%的物理伤害，每层中毒使该伤害提高3%%,普攻附加%d%%的物理伤害，每层中毒使该伤害提高3%%,Normal Attack deals extra %d%% Physical DMG and the DMG increases by 3%% for each stack of Poisoned,通常攻撃時%d%%の物理ダメージを追加で与える。このダメージが毒層数により1層ごとに3%%増加する。,普攻附加%d%%的物理傷害，每層中毒使該傷害提高3%%
,,,,
连刃斩,连刃斩,Dual Slashes,連撃斬,連刃斬
通常普攻时%d%%的几率附加一次强击造成%d%%的物理伤害，触发攻击特效,通常普攻时%d%%的几率附加一次强击造成%d%%的物理伤害，触发攻击特效,"Normal Attack has a %d%% chance to perform a Powerful Strike, dealing %d%% Physical DMG, triggering on-hit effects",通常攻撃は%d%%の確率で、%d%%の物理ダメージを与える強攻撃を追加し、攻撃効果を発動する,通常普攻時%d%%的幾率附加一次強擊造成%d%%的物理傷害，觸發攻擊特效
狂暴疾风,狂暴疾风,Howling Storm,狂暴疾風,狂暴疾風
普攻时%d%%的几率获得%d层急速和狂怒,普攻时%d%%的几率获得%d层急速和狂怒,Normal Attack has a %d%% chance to gain %d stack(s) of Berserked and Hasted,通常攻撃をする際、%d%%の確率、%d層の急速と激怒を獲得する。,普攻時%d%%的幾率獲得%d層急速和狂怒
风袭,风袭,Raid of Wind,風襲,風襲
击杀单位后，闪现至血量最低敌人造成%d次%d%%的物理伤害，触发攻击特效,击杀单位后，闪现至血量最低敌人造成%d次%d%%的物理伤害，触发攻击特效,"After killing a unit, flashes to the enemy with the lowest HP and deals %d-time %d Physical DMG, triggering on-hit effects",ユニットを倒した際最もHPが低い敵の傍に瞬間移動し、%d回連続で%d%%の物理ダメージを与える、攻撃効果を発動する,擊殺單位後，閃現至血量最低敵人造成%d次%d%%的物理傷害，觸發攻擊特效
影镰,影镰,Shadow Scythe,影の鎌,影鐮
普攻附加%d%%的物理伤害,普攻附加%d%%的物理伤害,Normal Attack deals an extra %d%% Physical DMG,通常攻撃に%d%%の物理ダメージを追加で与える。,普攻附加%d%%的物理傷害
疾风斩,疾风斩,Gale Slash,疾風斬,疾風斬
