,zh_CN,en,ja,zh_HK
传奇生物2,传奇生物2,Legendary Creatures 2,伝説の生き物2,傳奇生物2
新游戏,新游戏,New Game,ニューゲーム,新遊戲
解锁,解锁,Unlock,"アンロック ",解鎖
退出,退出,Exit,終了,退出
设置,设置,Settings,設定,設置
继续,继续,Continue,続ける,繼續
状态列表,状态列表,Status List,状態リスト,狀態列表
解锁图册,解锁图册,Unlock Encyclopedia,図鑑をアンロック,解鎖圖冊
测试面板,测试面板,Test Panel,テストボード,測試面板
投降并结算,投降并结算,Surrender and Settle,降参し決算,投降並結算
保存并退出,保存并退出,Save and Exit,セーブし退出,保存並退出
难度,难度,Difficulty,難易度,難度
进阶等级,进阶等级,Advanced Level,昇格ランク,進階等級
开始,开始,Start,スタート,開始
语言：,语言：,Language:,言語：,語言：
音乐：,音乐：,Music:,BGM：,音樂：
音效：,音效：,SFX:,SE：,音效：
分辨率：,分辨率：,Resolution:,解像度：,分辨率：
全屏,全屏,Full Screen,フルスクリーン,全屏
,,,,
用于铁匠铺升级装备,用于铁匠铺升级装备,Can be used to upgrade equipment at the Blacksmith,鉄鋼所で装備の強化に使用,用於鐵匠鋪升級裝備
,,,,
决定生命上限,决定生命上限,Determines Max HP,HP上限を影響する,決定生命上限
提升普通攻击和物理伤害,提升普通攻击和物理伤害,Increases Normal Attack and Physical DMG,通常攻撃力と物理攻撃力を上昇させる,提升普通攻擊和物理傷害
大幅提升魔法伤害,大幅提升魔法伤害,Significantly increases Magic DMG,魔法ダメージを大幅に上昇させる,大幅提升魔法傷害
减少物理伤害,减少物理伤害,Reduces Physical DMG,物理ダメージを軽減させる,減少物理傷害
减少魔法伤害,减少魔法伤害,Reduces Magic DMG,魔法ダメージを軽減させる,減少魔法傷害
无视一部分物理和魔法防御,无视一部分物理和魔法防御,Ignores part of the enemies' Physical and Magic Defense,一部の物理防御力と魔法防御力を無視する,無視一部分物理和魔法防禦
攻击范围,攻击范围,Attack Range,攻撃範囲,攻擊範圍
普通攻击的暴击率,普通攻击的暴击率,Crit Rate of Normal Attack,通常攻撃の会心率,普通攻擊的暴擊率
暴击时造成的伤害倍率,暴击时造成的伤害倍率,DMG Multiplier on a Crit Hit,会心時のダメージ倍率,暴擊時造成的傷害倍率
普通攻击的速度,普通攻击的速度,Normal Attack Speed,通常攻撃の速度,普通攻擊的速度
主动技能的冷却速度,主动技能的冷却速度,Cooldown Speed of Active Skills,アクティブスキルのCD,主動技能的冷卻速度
,,,,
金币 不足,金币 不足,Insufficient Coins,金貨 不足,金幣 不足
魂 不足,魂 不足,Insufficient Essence,ソウル 不足,魂 不足
晶石 不足,晶石 不足,Insufficient Crystals,晶石 不足,晶石 不足
技能点：,技能点：,"Skill Point(s): ",SP：,技能點：
影响你升级时随机到的技能,影响你升级时随机到的技能,Influences the random skill obtained upon leveling up,レベルアップ時のランダムで修得したスキルに影響する,影響你升級時隨機到的技能
已经最高等级,已经最高等级,Max Level reached,すでにLvMAXです,已經最高等級
CD:%d秒,CD:%d秒,CD: %d sec,CD：%d秒,CD:%d秒
秒,秒,Sec,秒,秒
%s：%d级,%s：%d级,%s: Lv. %d,%s：Lv%d,%s：%d級
专属,专属,Exclusive,専用,專屬
缺少物品,缺少物品,Necessary Items Required,アイテムが不足,缺少物品
事件,事件,Events,イベント,事件
解锁部分内容所消耗的晶石,解锁部分内容所消耗的晶石,Crystals for unlocking part of the game content,一部内容のアンロックに必要な晶石,解鎖部分內容所消耗的晶石
后备区,后备区,Bench,準備エリア,後備區
出战区,出战区,Battlefield,出陣エリア,出戰區
部队,部队,Troop,部隊,部隊
仓库,仓库,Warehouse,倉庫,倉庫
选项,选项,Options,オプション,選項
战力等级：,战力等级：,Battle Power:,戦力レベル：,戰力等級：
%d 级,%d 级,"Lv. %d ","%d ソウル ",%d 級
人口：,人口：,Team Size:,人口：,人口：
战力等级提升时，将提高人口上限,战力等级提升时，将提高人口上限,Increase your Battle Power to expand your Team Size,戦力レベルが上がった際、人口上限も上昇する,戰力等級提升時，將提高人口上限
战力等级随单位的总等级而提高,战力等级随单位的总等级而提高,Battle Power increases with unit level accumulation.,戦力レベルはユニットの総レベルに沿って上昇する,戰力等級隨單位的總等級而提高
,,,,
点击穿戴装备,点击穿戴装备,Click to equip,クリックして装備,點擊穿戴裝備
装备,装备,Equipment,装備,裝備
升级,升级,Upgrade,強化,升級
选择,选择,Select,選択,選擇
更换,更换,Change,切替,更換
